provider,type,corridor_from,corridor_to,commission_amount,commission_currency,fx_margin_percent,total_cost_percent,speed_display,speed_hours_approx,affiliate_status,data_source
Walmart2World,Ria,US,VN,0,USD,0,0,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,VN,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Ria,MTO,US,VN,0.9,USD,1.65,2.1,3-5 días,72,Sin confirmar,World Bank RPW Q3 2025
MoneyGram,MTO,US,VN,5.99,USD,0,3,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Pangea,MTO,US,VN,4.95,USD,0.63,3.11,2 días,48,Sin confirmar,World Bank RPW Q3 2025
Western Union,MTO,US,VN,3.99,USD,2.31,4.31,3-5 días,72,Sin confirmar,World Bank RPW Q3 2025
Xoom (PayPal),MTO,US,VN,8.88,USD,0,4.44,mismo día,12,Sin confirmar,World Bank RPW Q3 2025
Walmart2World,Ria,US,NG,0,USD,-0.22,-0.22,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
WorldRemit,MTO,US,NG,0,USD,-0.49,-0.49,2 días,48,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,US,NG,0,USD,0.01,0.01,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,US,NG,0,USD,1.09,1.09,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,NG,1.99,USD,-0.17,0.73,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Ria,MTO,US,NG,2.9,USD,0.76,2.26,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Sendwave,MTO,GB,NG,0,GBP,-0.12,-0.12,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Remitly,MTO,GB,NG,0,GBP,0.25,0.25,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
WorldRemit,MTO,GB,NG,0,GBP,0.28,0.28,2 días,48,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,GB,NG,0,GBP,0.03,0.03,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Paysend,MTO,GB,NG,0,GBP,0.64,0.64,día siguiente,24,Sin confirmar,World Bank RPW Q3 2025
CashMinute,MTO,GB,NG,0,GBP,1.01,1.01,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Ria,MTO,GB,NG,1.99,GBP,0,1.66,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Western Union,MTO,GB,NG,0.99,GBP,2.18,3.01,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Emirates NBD,Banco,AE,IN,0,AED,0.77,0.77,3-5 días,96,No (banco),World Bank RPW Q3 2025
DirectRemit (NBD),Banco,AE,IN,0,AED,1.11,1.11,2 días,48,No (banco),World Bank RPW Q3 2025
Remitly,MTO,AE,IN,5,AED,0.36,1.04,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,AE,IN,7.88,AED,0.52,1.59,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Lari,MTO,AE,IN,10.5,AED,0.2,1.63,2 días,48,Sin confirmar,World Bank RPW Q3 2025
Al Ansari,MTO,AE,IN,10.5,AED,0.4,1.83,2 días,48,Confirmado NO,World Bank RPW Q3 2025
MoneyGram,MTO,AE,IN,15.75,AED,0.34,2.48,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
GCC Exchange,MTO,AE,IN,15.75,AED,0.37,2.51,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wall St Exchange,MTO,AE,IN,17,AED,0.37,2.68,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Al Fardan Exchange,MTO,AE,IN,19.5,AED,0.56,3.21,mismo día,12,Sin confirmar,World Bank RPW Q3 2025
Global66,MTO,ES,CO,0,EUR,0.33,0.33,mismo día,12,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,ES,CO,1.67,EUR,0,0.93,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,ES,CO,0,EUR,1.41,1.41,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Ria,MTO,ES,CO,2.9,EUR,0,1.61,2 días,48,Sin confirmar,World Bank RPW Q3 2025
Western Union,MTO,ES,CO,1.9,EUR,1.56,2.62,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Small World,MTO,ES,CO,3.9,EUR,0.49,2.67,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,CA,PH,2.74,CAD,0,1.02,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,CA,PH,0,CAD,1.63,1.63,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Kabayan Remit,MTO,CA,PH,5,CAD,0,1.85,2 días,48,Sin confirmar,World Bank RPW Q3 2025
WorldRemit,MTO,CA,PH,2.99,CAD,1.45,2.57,2 días,48,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,CA,PH,4.99,CAD,0.98,2.83,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,CA,PH,5,CAD,2.57,4.44,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,AU,IN,2.45,AUD,0,0.85,mismo día,12,Sí (activo),World Bank RPW Q3 2025
OrbitRemit,MTO,AU,IN,4,AUD,1.06,2.44,siguiente día,24,Sin confirmar,World Bank RPW Q3 2025
InstaReM (Nium),MTO,AU,IN,4,AUD,0.87,2.24,siguiente día,24,Sin confirmar,World Bank RPW Q3 2025
Remitly,MTO,AU,IN,0,AUD,2.54,2.54,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,AU,IN,0,AUD,3.5,3.5,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
MoneyGram,MTO,AU,IN,5.99,AUD,1.74,3.82,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Wise,MTO,FR,MA,1.63,EUR,0,0.91,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Ria,MTO,FR,MA,1.99,EUR,1,2.11,2 días,48,Sin confirmar,World Bank RPW Q3 2025
Small World,MTO,FR,MA,3.9,EUR,0,2.17,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Western Union,MTO,FR,MA,0.9,EUR,1.92,2.42,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
